Variable type,Variable,Specific variable name,Depth,Variable name,Unit,Datasource,Resolution (m) ,Temporal range,Temporal resolution,Date accessed,Processing?,Projection,Link,Notes
Climate,Actual evapotranspiration,Eta,,Actual Evapotranspiration for Australia (CMRSET Landsat V2.1),mm/d,Google Earth Engine (also available through TERN),30,2000-2020,Monthly,,Annual average,,https://developers.google.com/earth-engine/datasets/catalog/TERN_AET_CMRSET_LANDSAT_V2_2,"If this is a ton of data and a lot of work, we have downloaded files for the same variable from Terraclimate (and it's available through worldclim https://www.worldclim.org/data/worldclim21.html)"
,Mean annual precipitation,precipitation ,,precipitation (mm),mm/y,Terraclim ,0.04166667°,2000-2020,Annual,,Clip to Australia?,,https://www.worldclim.org/data/worldclim21.html,
,Mean annual temperature,average temperature,,,C,Terraclim,0.04166667°,2000-2020,Annual,,Clip to Australia?,,https://www.worldclim.org/data/worldclim21.html,
Soil,N,Total Nitrogen (NTO). “Estimated value” %,0-5 cm,NTO_000_005_EV,%,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,https://developers.google.com/earth-engine/datasets/catalog/CSIRO_SLGA,
,,,5-10 cm,NTO_005_015_EV,%,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,,
,,,15-30 cm,NTO_015_030_EV,%,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,,
,P,Total Phosphorus (PTO) “Estimated value” %,0-5 cm,PTO_000_005_EV,%,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,https://developers.google.com/earth-engine/datasets/catalog/CSIRO_SLGA,
,,,5-10 cm,PTO_005_015_EV,%,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,,
,,,15-30 cm,PTO_015_030_EV,%,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,,
,Organic C,Organic Carbon %,0-5 cm,SOC_000_005_EV,%,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,https://developers.google.com/earth-engine/datasets/catalog/CSIRO_SLGA,
,,,5-10 cm,SOC_005_015_EV,%,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,,
,,,15-30 cm,SOC_015_030_EV,%,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,,
,Available P,Available Phosphorus ,0-5 cm,AVP_000_005_EV,mg/kg,The Soil and Landscape Grid of Australia (SLGA) ,90,NA,NA,,,WGS84 - EPSG:4326,https://data.csiro.au/collection/csiro:55864?_st=browse&_str=35&_si=21&browseType=kw&browseValue=Global%20Soil%20Map,
,,,5-10 cm,AVP_005_015_EV,mg/kg,The Soil and Landscape Grid of Australia (SLGA) ,90,NA,NA,,,WGS84 - EPSG:4326,,
,,,15-30 cm,AVP_015_030_EV,mg/kg,The Soil and Landscape Grid of Australia (SLGA) ,90,NA,NA,,,WGS84 - EPSG:4326,,
,CEC,"Effectice CEC, meq/100g",0-5 cm,ECE_000_005_EV,meq/100g,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,https://developers.google.com/earth-engine/datasets/catalog/CSIRO_SLGA#bands,
,,,5-10 cm,ECE_005_015_EV,meq/100g,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,,
,,,15-30 cm,ECE_015_030_EV,meq/100g,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,,
,Bulk density,Bulk Density (whole earth),0-5 cm,BDW_000_005_EV,g/cm^3,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,https://developers.google.com/earth-engine/datasets/catalog/CSIRO_SLGA#description,
,,,5-10 cm,BDW_005_015_EV,g/cm^3,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,,
,,,15-30 cm,BDW_015_030_EV,g/cm^3,The Soil and Landscape Grid of Australia (SLGA) via GEE,90,NA,NA,,,WGS84 - EPSG:4326,,
NPP,Net primary productivity,,,,kgC m-2 yr-1,MODIS ,500m,2001-2020,Annual,,Clip to Australia?,,https://lpdaac.usgs.gov/products/mod17a3hgfv061/,